Continent;Year;Age;Value
Asia;1956;20-29;92.17394428697853
Asia;1956;30-39;85.36808122142502
Asia;1956;40-49;95.90008467185098
Asia;1956;50-59;122.56968545166912
Asia;1956;60-69;154.7015392982622
Asia;1956;70-79;162.35018099938583
Asia;1956;80-89;82.27813875514047
Asia;1956;90+;10.860619832142545
Asia;1957;0-9;960.7127948653243
Asia;1957;10-19;69.56890933429882
Asia;1957;20-29;90.52769580278401
Asia;1957;30-39;84.19688860372432
Asia;1957;40-49;93.63687591067084
Asia;1957;50-59;120.99293452245246
Asia;1957;60-69;151.98049829830816
Asia;1957;70-79;159.7756302519992
Asia;1957;80-89;81.59229529827783
Asia;1957;90+;10.758642758356972
Asia;1958;0-9;933.2879023006578
Asia;1958;10-19;66.94728839090719
Asia;1958;20-29;88.82886967802537
Asia;1958;30-39;82.92796746941347
Asia;1958;40-49;90.96322919548264
Asia;1958;50-59;118.67409142365426
Asia;1958;60-69;148.6134712743501
Asia;1958;70-79;156.52220783034522
Asia;1958;80-89;80.50211129318983
Asia;1958;90+;10.681315797327052
Asia;1959;0-9;913.4422538235689
Asia;1959;10-19;65.53463741160233
Asia;1959;20-29;87.00726705944234
Asia;1959;30-39;81.89454659492438
Asia;1959;40-49;89.13904049634327
Asia;1959;50-59;116.8659108868131
Asia;1959;60-69;146.62074417571577
Asia;1959;70-79;154.4275305117194
Asia;1959;80-89;79.61007404131789
Asia;1959;90+;10.758718761071936
Asia;1960;0-9;890.3386708132372
Asia;1960;10-19;64.18539437823246
Asia;1960;20-29;84.73995981588142
Asia;1960;30-39;80.66076965172982
Asia;1960;40-49;86.99622915695083
Asia;1960;50-59;115.10277040281197
Asia;1960;60-69;144.99878302607402
Asia;1960;70-79;152.33287361608063
Asia;1960;80-89;78.68228230149329
Asia;1960;90+;11.055466004235129
Asia;1961;0-9;850.8540092960193
Asia;1961;10-19;61.413805884889896
Asia;1961;20-29;81.8472796761307
Asia;1961;30-39;78.80781165379207
Asia;1961;40-49;83.71688050725548
Asia;1961;50-59;111.56677977444009
Asia;1961;60-69;141.89611190951416
Asia;1961;70-79;148.8464678552188
Asia;1961;80-89;77.50567190399018
Asia;1961;90+;11.052624115860812
Asia;1962;0-9;816.8286651964071
Asia;1962;10-19;58.93933730425684
Asia;1962;20-29;79.2332279173215
Asia;1962;30-39;77.02232064197251
Asia;1962;40-49;81.06601854281207
Asia;1962;50-59;108.54977490206174
Asia;1962;60-69;139.6280822299109
Asia;1962;70-79;146.03823238057925
